Techstack,Links
"React, Node.js, MongoDB",https://smartreach.com/react-portfolio
"Angular,.NET, SQL Server",https://smartreach.com/angular-portfolio
"Vue.js, Ruby on Rails, PostgreSQL",https://smartreach.com/vue-portfolio
"Python, Django, MySQL",https://smartreach.com/python-portfolio
"Java, Spring Boot, Oracle",https://smartreach.com/java-portfolio
"Flutter, Firebase, GraphQL",https://smartreach.com/flutter-portfolio
"WordPress, PHP, MySQL",https://smartreach.com/wordpress-portfolio
"Magento, PHP, MySQL",https://smartreach.com/magento-portfolio
"React Native, Node.js, MongoDB",https://smartreach.com/react-native-portfolio
"iOS, Swift, Core Data",https://smartreach.com/ios-portfolio
"Android, Java, Room Persistence",https://smartreach.com/android-portfolio
"Kotlin, Android, Firebase",https://smartreach.com/kotlin-android-portfolio
"Android TV, Kotlin, Android NDK",https://smartreach.com/android-tv-portfolio
"iOS, Swift, ARKit",https://smartreach.com/ios-ar-portfolio
"Cross-platform, Xamarin, Azure",https://smartreach.com/xamarin-portfolio
"Backend, Django, Spring Boot",https://smartreach.com/django-backend-portfolio
"Backend, Kotlin, Spring Boot",https://smartreach.com/kotlin-backend-portfolio
"Frontend, TypeScript, Angular",https://smartreach.com/typescript-frontend-portfolio
"Full-stack, JavaScript, Express.js",https://smartreach.com/full-stack-js-portfolio
"Machine Learning, Python, TensorFlow",https://smartreach.com/ml-python-portfolio
"DevOps, Jenkins, Docker",https://smartreach.com/devops-portfolio
